HOST: nba90,  InterfaceCapacity: 109.12Mb/sec
HOST: nba91,  InterfaceCapacity: 96.99Mb/sec
HOST: nba92,  InterfaceCapacity: 116.39Mb/sec
HOST: nba93,  InterfaceCapacity: 102.7Mb/sec
HOST: nba94,  InterfaceCapacity: 116.39Mb/sec
HOST: nba95,  InterfaceCapacity: 134.3Mb/sec
HOST: nba96,  InterfaceCapacity: 116.39Mb/sec
HOST: nba97,  InterfaceCapacity: 116.39Mb/sec
HOST: nba98,  InterfaceCapacity: 109.12Mb/sec
HOST: nba99,  InterfaceCapacity: 91.89Mb/sec
HOST: nba100,  InterfaceCapacity: 116.39Mb/sec
HOST: nba101,  InterfaceCapacity: 116.39Mb/sec
HOST: nba102,  InterfaceCapacity: 116.39Mb/sec
HOST: nba103,  InterfaceCapacity: 134.3Mb/sec
HOST: nba104,  InterfaceCapacity: 124.71Mb/sec
HOST: nba105,  InterfaceCapacity: 116.39Mb/sec
HOST: nba106,  InterfaceCapacity: 116.39Mb/sec
HOST: nba107,  InterfaceCapacity: 116.39Mb/sec
HOST: nba108,  InterfaceCapacity: 116.39Mb/sec
HOST: nba109,  InterfaceCapacity: 116.39Mb/sec
HOST: nba110,  InterfaceCapacity: 124.71Mb/sec
HOST: nba111,  InterfaceCapacity: 109.12Mb/sec
HOST: nba112,  InterfaceCapacity: 109.12Mb/sec
HOST: nba113,  InterfaceCapacity: 116.39Mb/sec
HOST: nba114,  InterfaceCapacity: 116.39Mb/sec
HOST: nba115,  InterfaceCapacity: 116.39Mb/sec
HOST: nba116,  InterfaceCapacity: 124.71Mb/sec
HOST: nba117,  InterfaceCapacity: 134.3Mb/sec
HOST: nba118,  InterfaceCapacity: 116.39Mb/sec
HOST: nba119,  InterfaceCapacity: 109.12Mb/sec
HOST: nba120,  InterfaceCapacity: 116.39Mb/sec
HOST: nba121,  InterfaceCapacity: 124.71Mb/sec
HOST: nba122,  InterfaceCapacity: 109.12Mb/sec
HOST: nba123,  InterfaceCapacity: 116.39Mb/sec
HOST: nba124,  InterfaceCapacity: 116.39Mb/sec
HOST: nba125,  InterfaceCapacity: 124.71Mb/sec
HOST: nba126,  InterfaceCapacity: 116.39Mb/sec
HOST: nba127,  InterfaceCapacity: 116.39Mb/sec
HOST: nba128,  InterfaceCapacity: 102.7Mb/sec
HOST: nba129,  InterfaceCapacity: 109.12Mb/sec
HOST: nba130,  InterfaceCapacity: 134.3Mb/sec
HOST: nba131,  InterfaceCapacity: 116.39Mb/sec
HOST: nba132,  InterfaceCapacity: 102.7Mb/sec
HOST: nba133,  InterfaceCapacity: 109.12Mb/sec
HOST: nba134,  InterfaceCapacity: 109.12Mb/sec
HOST: nba135,  InterfaceCapacity: 116.39Mb/sec
HOST: nba136,  InterfaceCapacity: 116.39Mb/sec
HOST: nba137,  InterfaceCapacity: 116.39Mb/sec
HOST: nba138,  InterfaceCapacity: 116.39Mb/sec
HOST: nba139,  InterfaceCapacity: 116.39Mb/sec
HOST: nba140,  InterfaceCapacity: 109.12Mb/sec
HOST: nba141,  InterfaceCapacity: 116.39Mb/sec
HOST: nba142,  InterfaceCapacity: 116.39Mb/sec
HOST: nba143,  InterfaceCapacity: 116.39Mb/sec
HOST: nba144,  InterfaceCapacity: 116.39Mb/sec
HOST: nba145,  InterfaceCapacity: 116.39Mb/sec
HOST: nba146,  InterfaceCapacity: 102.7Mb/sec
HOST: nba147,  InterfaceCapacity: 124.71Mb/sec
HOST: nba148,  InterfaceCapacity: 124.71Mb/sec
HOST: nba149,  InterfaceCapacity: 116.39Mb/sec
HOST: nba150,  InterfaceCapacity: 124.71Mb/sec
HOST: nba151,  InterfaceCapacity: 124.71Mb/sec
HOST: nba152,  InterfaceCapacity: 124.71Mb/sec
HOST: nba153,  InterfaceCapacity: 109.12Mb/sec
HOST: nba154,  InterfaceCapacity: 116.39Mb/sec
HOST: nba155,  InterfaceCapacity: 116.39Mb/sec
HOST: nba156,  InterfaceCapacity: 116.39Mb/sec
HOST: nba157,  InterfaceCapacity: 116.39Mb/sec
HOST: nba158,  InterfaceCapacity: 116.39Mb/sec
HOST: nba159,  InterfaceCapacity: 116.39Mb/sec
HOST: nba160,  InterfaceCapacity: 124.71Mb/sec
HOST: nba161,  InterfaceCapacity: 124.71Mb/sec
HOST: nba162,  InterfaceCapacity: 109.12Mb/sec
HOST: nba163,  InterfaceCapacity: 116.39Mb/sec
HOST: nba164,  InterfaceCapacity: 134.3Mb/sec
HOST: nba165,  InterfaceCapacity: 116.39Mb/sec
HOST: nba167,  InterfaceCapacity: 102.7Mb/sec
HOST: nba168,  InterfaceCapacity: 109.12Mb/sec
HOST: nba169,  InterfaceCapacity: 116.39Mb/sec
HOST: nba170,  InterfaceCapacity: 102.7Mb/sec
HOST: nba171,  InterfaceCapacity: 109.12Mb/sec
HOST: nba172,  InterfaceCapacity: 116.39Mb/sec
HOST: nba173,  InterfaceCapacity: 116.39Mb/sec
HOST: nba174,  InterfaceCapacity: 116.39Mb/sec
HOST: nba175,  InterfaceCapacity: 116.39Mb/sec
HOST: nba176,  InterfaceCapacity: 134.3Mb/sec
HOST: nba177,  InterfaceCapacity: 116.39Mb/sec
HOST: nba178,  InterfaceCapacity: 134.3Mb/sec
HOST: nba179,  InterfaceCapacity: 116.39Mb/sec
HOST: nba180,  InterfaceCapacity: 116.39Mb/sec
HOST: nba181,  InterfaceCapacity: 124.71Mb/sec
HOST: nba182,  InterfaceCapacity: 116.39Mb/sec
HOST: nba183,  InterfaceCapacity: 109.12Mb/sec
HOST: nba184,  InterfaceCapacity: 116.39Mb/sec
HOST: nba185,  InterfaceCapacity: 109.12Mb/sec
HOST: nba186,  InterfaceCapacity: 116.39Mb/sec
HOST: nba187,  InterfaceCapacity: 124.71Mb/sec
HOST: nba188,  InterfaceCapacity: 116.39Mb/sec
HOST: nba189,  InterfaceCapacity: 124.71Mb/sec
HOST: nba190,  InterfaceCapacity: 116.39Mb/sec
HOST: nba191,  InterfaceCapacity: 116.39Mb/sec
HOST: nba192,  InterfaceCapacity: 109.12Mb/sec
HOST: nba193,  InterfaceCapacity: 60.36Mb/sec
HOST: nba194,  InterfaceCapacity: 102.2Mb/sec
HOST: nba195,  InterfaceCapacity: 101.7Mb/sec
HOST: nba196,  InterfaceCapacity: 56.32Mb/sec
